model,reference,code,name,address,datatype,scale,default,min,max,unit,access,monitor,write_protect,scope,group,subcategory,functional_area,safety_class,write_policy,display_order,logic_address_hex,canopen_index,cip_path,link,source_category,display,menu,notes
XD4000,ALL,NCV,Drive nominal rating,3011,uint16,1.0,0,0.0,65535.0,,RO,TRUE,TRUE,FALSE,Drive Identification,Drive Identification,Drive Identification,Read Only,Read only,1011,16#0BC3,16#2000/C,16#70/01/0C = 112/01/12,NCV,Identification parameters,,,Factory: [Unknown rating] NO; Range: ; Source access: R; Source type: WORD (Enumeration)
XD4000,ALL,VCAL,Drive mains voltage,3012,uint16,1.0,0,0.0,65535.0,,RO,TRUE,TRUE,FALSE,Drive Identification,Drive Identification,Drive Identification,Read Only,Read only,1012,16#0BC4,16#2000/D,16#70/01/0D = 112/01/13,VCAL,Identification parameters,,,Factory: [Unkown voltage] NO; Range: ; Source access: R; Source type: WORD (Enumeration)
XD4000,ALL,INV,Nominal Drive current,3017,int16,1.0,0,0.0,65535.0,,RO,TRUE,TRUE,FALSE,Drive Identification,Drive Identification,Drive Identification,Read Only,Read only,1017,16#0BC9,16#2000/12,16#70/01/12 = 112/01/18,,Identification parameters,,,Factory: Refer to programming manual; Range: 0 ... 65535; Source access: R; Source type: UINT (Unsigned16)
XD4000,ALL,VDP,Device software version,3302,int16,1.0,0,0.0,65535.0,,RO,TRUE,TRUE,FALSE,Drive Identification,Drive Identification,Drive Identification,Read Only,Read only,1302,16#0CE6,16#2003/3,16#71/01/67 = 113/01/103,,Identification parameters,,,Factory: ; Range: 0  ... 65535; Source access: R; Source type: UINT (Unsigned16)
XD4000,ALL,PAN0,Device name (char 1 and 2),3340,int16,1.0,0,0.0,65535.0,,RW,FALSE,TRUE,FALSE,Drive Identification,Drive Identification,Drive Identification,Controlled Write,Write protected by default,1340,16#0D0C,16#2003/29,16#71/01/8D = 113/01/141,,Identification parameters,,,Factory: 0; Range: 0  ... 65535; Source access: R/W; Source type: UINT (Unsigned16)
XD4000,ALL,PAN1,Device name (char 3 and 4),3341,int16,1.0,0,0.0,65535.0,,RW,FALSE,TRUE,FALSE,Drive Identification,Drive Identification,Drive Identification,Controlled Write,Write protected by default,1341,16#0D0D,16#2003/2A,16#71/01/8E = 113/01/142,,Identification parameters,,,Factory: 0; Range: 0  ... 65535; Source access: R/W; Source type: UINT (Unsigned16)
XD4000,ALL,PAN2,Device name (char 5 and 6),3342,int16,1.0,0,0.0,65535.0,,RW,FALSE,TRUE,FALSE,Drive Identification,Drive Identification,Drive Identification,Controlled Write,Write protected by default,1342,16#0D0E,16#2003/2B,16#71/01/8F = 113/01/143,,Identification parameters,,,Factory: 0; Range: 0  ... 65535; Source access: R/W; Source type: UINT (Unsigned16)
XD4000,ALL,PAN3,Device name (char 7 and 8),3343,int16,1.0,0,0.0,65535.0,,RW,FALSE,TRUE,FALSE,Drive Identification,Drive Identification,Drive Identification,Controlled Write,Write protected by default,1343,16#0D0F,16#2003/2C,16#71/01/90 = 113/01/144,,Identification parameters,,,Factory: 0; Range: 0  ... 65535; Source access: R/W; Source type: UINT (Unsigned16)
XD4000,ALL,PAN4,Device name (char 9 and 10),3344,int16,1.0,0,0.0,65535.0,,RW,FALSE,TRUE,FALSE,Drive Identification,Drive Identification,Drive Identification,Controlled Write,Write protected by default,1344,16#0D10,16#2003/2D,16#71/01/91 = 113/01/145,,Identification parameters,,,Factory: 0; Range: 0  ... 65535; Source access: R/W; Source type: UINT (Unsigned16)
XD4000,ALL,PAN5,Device name (char 11 and 12),3345,int16,1.0,0,0.0,65535.0,,RW,FALSE,TRUE,FALSE,Drive Identification,Drive Identification,Drive Identification,Controlled Write,Write protected by default,1345,16#0D11,16#2003/2E,16#71/01/92 = 113/01/146,,Identification parameters,,,Factory: 0; Range: 0  ... 65535; Source access: R/W; Source type: UINT (Unsigned16)
XD4000,ALL,PAN6,Device name (char 13 and 14),3346,int16,1.0,0,0.0,65535.0,,RW,FALSE,TRUE,FALSE,Drive Identification,Drive Identification,Drive Identification,Controlled Write,Write protected by default,1346,16#0D12,16#2003/2F,16#71/01/93 = 113/01/147,,Identification parameters,,,Factory: 0; Range: 0  ... 65535; Source access: R/W; Source type: UINT (Unsigned16)
